RecordType,ModFilename,EDID,NumReferences,FormID,Fullname
EFSH,,"effectSpellAbsorption",,0x0008B91A,""
EFSH,,"effectDestruction",,0x0008B95E,""
EFSH,,"effectDrain",,0x0008B95F,""
EFSH,,"effectCommand",,0x0008B99F,""
EFSH,,"LifeDetected",,0x00000146,""
EFSH,,"effectDisease",,0x000C4289,""
EFSH,,"effectAbsorb",,0x00000144,""
EFSH,,"effectReflect",,0x00000145,""
EFSH,,"effectSiegeCrawler",,0x000C49BE,""
EFSH,,"creatureEffectSkeletonGuardian",,0x000C7697,""
EFSH,,"creatureEffectSkeletonHero",,0x000C7698,""
EFSH,,"creatureEffectGhostAncient",,0x000C7699,""
EFSH,,"creatureEffectWraithFaded",,0x000C769A,""
EFSH,,"creatureEffectLichNether",,0x000C769B,""
EFSH,,"creatureEffectSkeletonChampion",,0x000C769C,""
EFSH,,"effectWeakness",,0x000C7939,""
EFSH,,"effectCharm",,0x000C793A,""
EFSH,,"effectDemoralize",,0x000C793B,""
EFSH,,"effectCalm",,0x000C793C,""
EFSH,,"effectRally",,0x000C793D,""
EFSH,,"effectSilence",,0x000C793E,""
EFSH,,"effectFrenzy",,0x000C793F,""
EFSH,,"effectTurnUndead",,0x000C7940,""
EFSH,,"effectDamage",,0x000C7941,""
EFSH,,"effectBurden",,0x000C7942,""
EFSH,,"creatureEffectZombieDread",,0x000C8B5A,""
EFSH,,"creatureEffectWraithGreater",,0x000CBF14,""
EFSH,,"effectPoison",,0x00014EFD,""
EFSH,,"effectEnchantPoison",,0x00014EFE,""
EFSH,,"effectTG11Stone",,0x00014F3B,""
EFSH,,"creatureAnvilMGPetImp",,0x00014F95,""
EFSH,,"creatureEffectSkeletonChampion2",,0x00000F19,""
EFSH,,"creatureEffectUndeadBlade",,0x00009985,""
EFSH,,"effectReflectDamage",,0x0000CEBD,""
EFSH,,"SE32ZealotEffect",,0x00013981,""
EFSH,,"SE11DopplegangerEffect",,0x00016ECA,""
EFSH,,"SE11bCloneShader",,0x000171A5,""
EFSH,,"ErikTestOrder",,0x00017459,""
EFSH,,"SE11c2aTorchShader",,0x00018DAF,""
EFSH,,"TestJoelShady",,0x00019D2C,""
EFSH,,"SEPriestResurrectShader",,0x0001A800,""
EFSH,,"SE10DeadWarriorShader",,0x0001AD77,""
EFSH,,"SETimeStopStone",,0x0004401B,""
EFSH,,"effectSEFireAgnonMani",,0x0006D1A6,""
EFSH,,"SE32ZealotEffectNoAlpha",,0x000727D0,""
EFSH,,"SE32DefenderEffectNoAlpha",,0x000727E3,""
EFSH,,"SE09SummonEffect",,0x0007B337,""
EFSH,,"SE32GhostEffect",,0x0007DEB3,""
EFSH,,"SE30MatrixEffect",,0x0007E092,""
EFSH,,"SE06FlameOfAgnonEffect",,0x000806E8,""
EFSH,,"SEOrderShader",,0x0008D9F7,""
EFSH,,"SE11DoorEffect",,0x0008F12E,""
EFSH,,"SE13JygDeadEffect",,0x0008F521,""
EFSH,,"SE13JyggalagStaffEffect",,0x00092DB3,""
EFSH,,"SE32GhostEffectParticle",,0x00094160,""
EFSH,,"SE10BrellachChimeEffect",,0x000948BC,""
EFSH,,"SE10PRChimeEffect",,0x000948BD,""
EFSH,,"SE13FlyingKnightEffect",,0x00094CC1,""
WATR,,"OblivionLavaTest01",,0x00039D98,""
WATR,,"DefaultWater",,0x00000018,""
WATR,,"OblivionOil01",,0x0003AB07,""
WATR,,"CamoranLava",,0x0003AFD3,""
WATR,,"CamoranLava02",,0x0003AFD4,""
WATR,,"Blood",,0x00090DDC,""
WATR,,"SewerWater",,0x0006AF23,""
WATR,,"MS31Water",,0x0006DEC7,""
WATR,,"DungeonWater01",,0x0006EE2F,""
WATR,,"SwampWater",,0x000BE52F,""
WATR,,"OblivionCitadelLavaPlane",,0x000CD4EA,""
WATR,,"DefaultWaterNight",,0x000084D0,""
WATR,,"DefaultUnderwater",,0x000084D1,""
WATR,,"DungeonWaterBrightFog01",,0x0000A9FB,""
WATR,,"SEDefaultWater",,0x0007B3A2,""
WATR,,"SEDefaultWaterNight",,0x0007B3A3,""
WATR,,"SEDefaultUnderwater",,0x0007B3A4,""
WATR,,"XPBlood",,0x00081A37,""
WATR,,"SErootDungeonWaterShallow",,0x0008F516,""
WATR,,"SErootDungeonWaterDeepNasty",,0x0008F518,""
WATR,,"SERuinDungeonWaterNoSwim",,0x0008F519,""
WATR,,"SEPinnacleRockWater",,0x0008FA31,""
WATR,,"SEBrellachWater",,0x0008FA32,""
ANIO,,"BreadPiece",,0x0003856A,""
ANIO,,"GenericMug",,0x0003856B,""
ANIO,,"GenericBottle",,0x0003856C,""
ANIO,,"IdleObjectsGenericBook",,0x0003EACC,""
ANIO,,"IdleObjectsGenericPotion",,0x0009079C,""
ANIO,,"IdleObjectsLockPick",,0x00150F1D,""
ANIO,,"IdleObjectsLockPickLow",,0x00150F1E,""
ANIO,,"Rake",,0x00062262,""
ANIO,,"Hoe",,0x00062263,""
ANIO,,"DrunkIdleMug",,0x00064C22,""
ANIO,,"IdleObjectsascensionParticles",,0x000651AD,""
ANIO,,"paintbrush",,0x00014933,""
ANIO,,"paintPalette",,0x00014939,""
ANIO,,"alchemyBottle",,0x0000A302,""
ANIO,,"alchemyRetort",,0x0000A303,""
ANIO,,"TGSkoomaGenericPotion",,0x0000C5DB,""
ANIO,,"SEJugglingBalls",,0x000607E0,""
ANIO,,"SEIdleObjectsBlackSmithHammer",,0x0008119F,""
ANIO,,"SEIdleObjectsBlackSmithClamp",,0x000811A0,""
ANIO,,"SEIdleObjectsBlackSmithClamp2",,0x000811A5,""
ANIO,,"SEIdleObjectsBlackSmithHammer2",,0x000811A6,""
ANIO,,"SE09RelmynaWriteBook",,0x00081DAF,""
ANIO,,"SE09RelmynaWritePen",,0x00081DB0,""
ANIO,,"SEIdleObjectGSSuicide",,0x0008955E,""
ANIO,,"SEIdleObjectDSSuicide",,0x0008955F,""
ANIO,,"SEIdleObjectAtrabhiManiaRead",,0x000895B0,""
ANIO,,"SEBroom",,0x000895C2,""
ANIO,,"SE09RelmynaWriteBook2",,0x0008EF26,""
ANIO,,"SE09RelmynaWritePen2",,0x0008EF27,""
ANIO,,"SEMixingBowl",,0x0008F13E,""
ANIO,,"SESpoon",,0x0008F13F,""
ANIO,,"SEHaleHalionWritesBook",,0x00093733,""
ANIO,,"SEHaleHalionWritesPen",,0x00093842,""
ANIO,,"SE14JugglingBalls",,0x00096231,""
LVSP,,"MythicDawnRangeSpell",,0x0003FBDA,""
LVSP,,"MythicDawnBarrierSpell",,0x0003FBDB,""
LVSP,,"MythicDawnSummonSpell",,0x00046678,""
LVSP,,"MG13VampireRestorationSpell",,0x000491ED,""
LVSP,,"MG13VampireDamageSpell",,0x000491EE,""
LVSP,,"LL0InvisibilityMajor100",,0x00027478,""
LVSP,,"LL0InvisibilityMajorLvl100",,0x0002747A,""
LVSP,,"LL0FireShieldMajor100",,0x0002747B,""
LVSP,,"LL0FireShieldMajorLvL100",,0x00027481,""
LVSP,,"LL0ShockShieldMajor100",,0x00027484,""
LVSP,,"LL0ChameleonMajor100",,0x00027485,""
LVSP,,"LL0ChameleonMajorLvl100",,0x00027486,""
LVSP,,"LL0ShockShieldMajorLvL100",,0x00027487,""
LVSP,,"LL0BurdenMajor100",,0x00027488,""
LVSP,,"LL0BoundArmorMajor100",,0x00027489,""
LVSP,,"LL0BoundArmorMajorLvl100",,0x0002748A,""
LVSP,,"LL0DispelSelfMajor100",,0x0002748B,""
LVSP,,"LL0DispelSelfMajorLvl100",,0x0002748C,""
LVSP,,"LL0BoundArmorMinor100",,0x0002748D,""
LVSP,,"LL0BoundArmorMinorLvl100",,0x0002748E,""
LVSP,,"LL0FireDamTargetMajor100",,0x0002748F,""
LVSP,,"LL0FireDamTargetMajorLvl100",,0x00027490,""
LVSP,,"LL0FireDamTargetMinor100",,0x00027491,""
LVSP,,"LL0FireDamTargetMinorLvl100",,0x00027492,""
LVSP,,"LL0SilenceMajor100",,0x00027493,""
LVSP,,"LL0SilenceMajorLvl100",,0x00027494,""
LVSP,,"LL0SpellAbsorptionMajor100",,0x00027495,""
LVSP,,"LL0SpellAbsorptionMajorLvl100",,0x00027496,""
LVSP,,"LL0BurdenMajorLvl100",,0x00027497,""
LVSP,,"LL0BurdenMinor100",,0x00027498,""
LVSP,,"LL0BurdenMinorLvl100",,0x00027499,""
LVSP,,"LL0FireDamAreaMajor100",,0x0002749A,""
LVSP,,"LL0FireDamAreaMajorLvl100",,0x0002749B,""
LVSP,,"LL0ReflectSpellMajor100",,0x0002749C,""
LVSP,,"LL0ReflectSpellMajorLvl100",,0x0002749D,""
LVSP,,"LL0FrostDamTargetMajor100",,0x000274B7,""
LVSP,,"LL0FrostDamTargetMajorLvl100",,0x000274B8,""
LVSP,,"LL0FrostDamTargetMinor100",,0x000274B9,""
LVSP,,"LL0FrostDamTargetMinorLvl100",,0x000274BA,""
LVSP,,"LL0ShieldMinorLvL100",,0x000274BF,""
LVSP,,"LL0ShieldMajor100",,0x000274C0,""
LVSP,,"LL0RestoreHealthMajor100",,0x000274C1,""
LVSP,,"LL0RestoreHealthMajorLvl100",,0x000274C2,""
LVSP,,"LL0RestoreHealthMinor100",,0x000274C3,""
LVSP,,"LL0RestoreHealthMinorLvl100",,0x000274C4,""
LVSP,,"LL0RestoreFatigueMajor100",,0x000274C5,""
LVSP,,"LL0RestoreFatigueMajorLvl100",,0x000274C6,""
LVSP,,"LL0RestoreFatigueMinor100",,0x000274D5,""
LVSP,,"LL0RestoreFatigueMinorLvl100",,0x000274D6,""
LVSP,,"LL0ShieldMajorLvl100",,0x000274EA,""
LVSP,,"LL0AbsorbAttrMajor100",,0x00027525,""
LVSP,,"LL0AbsorbAttrMajorLvl100",,0x00027526,""
LVSP,,"LL0AbsorbAttrMinor100",,0x00027539,""
LVSP,,"LL0AbsorbAttrMinorLvl100",,0x0002753A,""
LVSP,,"LL0AbsorbHealthMajor100",,0x0002753B,""
LVSP,,"LL0AbsorbHealthMajorLvl100",,0x00027549,""
LVSP,,"LL0AbsorbHealthMinor100",,0x0002754A,""
LVSP,,"LL0AbsorbHealthMinorLvl100",,0x0002754B,""
LVSP,,"LL0AbsorbSkillCombatMajor100",,0x0002754C,""
LVSP,,"LL0AbsorbSkillStealthMajor100",,0x0002755B,""
LVSP,,"LL0AbsorbSkillMagicMajor100",,0x0002755D,""
LVSP,,"LL0FireDamTouchMajor100",,0x0002755F,""
LVSP,,"LL0FireDamTouchMajorLvl100",,0x00027561,""
LVSP,,"LL0FrostShieldMajor100",,0x00027564,""
LVSP,,"LL0BoundWeaponMajor100",,0x00027566,""
LVSP,,"LL0BoundWeaponMajorLvl100",,0x00027567,""
LVSP,,"LL0BoundWeaponMinor100",,0x0002756B,""
LVSP,,"LL0DamageHealthMajor100",,0x00027577,""
LVSP,,"LL0DamageHealthMajorLvl100",,0x00027578,""
LVSP,,"LL0DamageHealthMinor100",,0x00027579,""
LVSP,,"LL0DamageHealthMinorLvl100",,0x0002757A,""
LVSP,,"LL0BoundWeaponMinorLvl100",,0x0002757B,""
LVSP,,"LL0FrostShieldMajorLvl100",,0x00027581,""
LVSP,,"LL0ShieldMinor100",,0x00027582,""
LVSP,,"LL1RestorationMinor100",,0x00037B24,""
LVSP,,"LL1DestructionAllMinorLvl100",,0x00037B27,""
LVSP,,"LL1ConjurationAllMinor100",,0x00037B28,""
LVSP,,"LL1AlterationMinor100",,0x00037B29,""
LVSP,,"LL2Crusader100",,0x00037B2C,""
LVSP,,"LL2Knight100",,0x00037B2D,""
LVSP,,"LL2Rogue100",,0x00037B30,""
LVSP,,"LL2Monk100",,0x00037B36,""
LVSP,,"LL2Mage100",,0x00037B3A,""
LVSP,,"LL2Sorcerer100",,0x00037B3B,""
LVSP,,"LL2Healer100",,0x00037B3C,""
LVSP,,"LL2Battlemage100",,0x00037B3D,""
LVSP,,"LL2Witchhunter100",,0x00037B3F,""
LVSP,,"LL2Spellsword100",,0x00037B40,""
LVSP,,"LL2Nightblade100",,0x00037BD5,""
LVSP,,"LL2Conjurer100",,0x00037BD6,""
LVSP,,"LL2Necromancer100",,0x00037C47,""
LVSP,,"LL2BanditWizard100",,0x00037C48,""
LVSP,,"LL2CreatureDremoraMage100",,0x00037C4A,""
LVSP,,"LL2MarauderMageLvl100",,0x00037C4D,""
LVSP,,"LL2AncestorMothMonk100",,0x00037C4E,""
LVSP,,"LL2Priest100",,0x00037C4F,""
LVSP,,"LL2Warlock100",,0x00037C51,""
LVSP,,"LL2Witch100",,0x00037C53,""
LVSP,,"LL0SummonAllMajor100",,0x00037C55,""
LVSP,,"LL1AlterationMajor100",,0x00037C7F,""
LVSP,,"LL1ConjurationAllMajor100",,0x00037CA8,""
LVSP,,"LL1IllusionMajor100",,0x00037CBE,""
LVSP,,"LL1MysticismMajor100",,0x00037CC8,""
LVSP,,"LL1RestorationMajor100",,0x00037CC9,""
LVSP,,"LL0SummonAllMinor100",,0x0004C8FC,""
LVSP,,"LL0DamageAttrMajor100",,0x0004C8FD,""
LVSP,,"LL0DamageAttrMinor100",,0x0004C8FE,""
LVSP,,"LL0SummonAllMajorLvl100",,0x0004C8FF,""
LVSP,,"LL0SummonAllMinorLvl100",,0x0004C900,""
LVSP,,"LL0DamageMagickaMajor100",,0x0004C901,""
LVSP,,"LL0DamageMagickaMajorLvl100",,0x0004C902,""
LVSP,,"LL0DamageAttrMajorLvl100",,0x0004C903,""
LVSP,,"LL0DamageAttrMinorLvl100",,0x0004C904,""
LVSP,,"LL0DrainAttrMajorLvl100",,0x0004C905,""
LVSP,,"LL0DrainAttrMajor100",,0x0004C906,""
LVSP,,"LL0DrainAttrMinorr100",,0x0004C907,""
LVSP,,"LL0DrainAttrMinorrLvl100",,0x0004C908,""
LVSP,,"LL0DrainSkillMajor100",,0x0004C909,""
LVSP,,"LL0DrainSkillMajorLvl100",,0x0004C90A,""
LVSP,,"LL0DrainFatigueMajor100",,0x0004C90B,""
LVSP,,"LL0DrainFatigueMajorLvl100",,0x0004C90C,""
LVSP,,"LL0DrainFatigueMinor100",,0x0004C90D,""
LVSP,,"LL0DrainFatigueMinorLvl100",,0x0004C90E,""
LVSP,,"LL0DrainMagicMajor100",,0x0004C910,""
LVSP,,"LL0DrainMagicMajorLvl100",,0x0004C911,""
LVSP,,"LL0DrainHealthMajor100",,0x0004C916,""
LVSP,,"LL0DrainHealthMajorLvl100",,0x0004C917,""
LVSP,,"LL0DrainHealthMinor100",,0x0004C918,""
LVSP,,"LL0DrainHealthMinorLvl100",,0x0004C919,""
LVSP,,"LL1DestructionAllMajor100",,0x0004C91A,""
LVSP,,"LL0FrostDamAreaMajor100",,0x0004C91B,""
LVSP,,"LL0FrostDamAreaMajorLvl100",,0x0004C91C,""
LVSP,,"LL0FrostDamTouchMajor100",,0x0004C91D,""
LVSP,,"LL0FireDamTouchMinor100",,0x0004C91F,""
LVSP,,"LL0FireDamTouchMinorLvl100",,0x0004C920,""
LVSP,,"LL0FrostDamTouchMajorLvl100",,0x0004C921,""
LVSP,,"LL0FrostDamTouchMinor100",,0x0004C922,""
LVSP,,"LL0FrostDamTouchMinorLvl100",,0x0004C923,""
LVSP,,"LL0ShockDamTargetMajor100",,0x0004C924,""
LVSP,,"LL0ShockDamTouchMajor100",,0x0004C925,""
LVSP,,"LL0ShockDamAreaMajor100",,0x0004C926,""
LVSP,,"LL0ShockDamAreaMajorLvl100",,0x0004C927,""
LVSP,,"LL0ShockDamTargetMajorLvl100",,0x0004C928,""
LVSP,,"LL0ShockDamTargetMinor100",,0x0004C929,""
LVSP,,"LL0ShockDamTargetMinorLvl100",,0x0004C92A,""
LVSP,,"LL0ShockDamTouchMajorLvl100",,0x0004C92B,""
LVSP,,"LL0ShockDamTouchMinor100",,0x0004C92C,""
LVSP,,"LL0ShockDamTouchMinorLvl100",,0x0004C92D,""
LVSP,,"LL0DispelTargetMajor100",,0x0004C935,""
LVSP,,"LL0DispelTargetMajorLvl100",,0x0004C936,""
LVSP,,"LL1AbsorbSkillAllMajor100",,0x0004C93F,""
LVSP,,"LL0SummonUndeadMajor100",,0x0004C940,""
LVSP,,"LL0SummonUndeadMajorLvl100",,0x0004C941,""
LVSP,,"LL0SummonUndeadMinor100",,0x0004C942,""
LVSP,,"LL0SummonUndeadMinorLvl100",,0x0004C943,""
LVSP,,"LL0SummonDaedraMajor100",,0x0004C944,""
LVSP,,"LL0SummonDaedraMinor100",,0x0004C945,""
LVSP,,"LL0SummonDaedraMajorLvl100",,0x0004C946,""
LVSP,,"LL0SummonDaedraMinorLvl100",,0x0004C947,""
LVSP,,"LL1ConjurationDaedraMajor100",,0x0004C948,""
LVSP,,"LL1ConjurationUndeadMajor100",,0x0004C949,""
LVSP,,"LL1ConjurationDaedraMinor100",,0x0004C94A,""
LVSP,,"LL1ConjurationUndeadMinor100",,0x0004C94B,""
LVSP,,"LL2ArenaCombatantMagic100",,0x0004C94C,""
LVSP,,"LL2Enchanter100",,0x0004C94D,""
LVSP,,"LL2Alchemist100",,0x0004C9BC,""
LVSP,,"LL1AlterationMajorLvl100",,0x00056A8D,""
LVSP,,"LL1AlterationMinorLvl100",,0x00056A8E,""
LVSP,,"LL1ConjurationAllMajorLvl100",,0x00056A8F,""
LVSP,,"LL1ConjurationAllMinorLvl100",,0x00056A90,""
LVSP,,"LL1ConjurationDaedraMajorLvl100",,0x00056A91,""
LVSP,,"LL1ConjurationDaedraMinorLvl100",,0x00056A92,""
LVSP,,"LL1ConjurationUndeadMajorLvl100",,0x00056A93,""
LVSP,,"LL1ConjurationUndeadMinorLvl100",,0x00056A94,""
LVSP,,"LL1DestructionAllMajorLvl100",,0x00056A95,""
LVSP,,"LL1DestructionAllMinor100",,0x00056A96,""
LVSP,,"LL1IllusionMajorLvl100",,0x00056A97,""
LVSP,,"LL1MysticismMajorLvl100",,0x00056A98,""
LVSP,,"LL1RestorationMajorLvl100",,0x00056A99,""
LVSP,,"LL1RestorationMinorLvl100",,0x00056A9A,""
LVSP,,"LL2AlchemistLvl100",,0x00056A9B,""
LVSP,,"LL2AncestorMothMonkLvl100",,0x00056A9C,""
LVSP,,"LL2ArenaCombatantMagicLvl100",,0x00056A9D,""
LVSP,,"LL2BanditWizardLvl100",,0x00056A9E,""
LVSP,,"LL2BattlemageLvl100",,0x00056A9F,""
LVSP,,"LL2ConjurerLvl100",,0x00056AA0,""
LVSP,,"LL2CrusaderLvl100",,0x00056AA1,""
LVSP,,"LL2EnchanterLvl100",,0x00056AA2,""
LVSP,,"LL2HealerLvl100",,0x00056AA3,""
LVSP,,"LL2KnightLvl100",,0x00056AA4,""
LVSP,,"LL2MageLvl100",,0x00056AA5,""
LVSP,,"LL2MonkLvl100",,0x00056AA6,""
LVSP,,"LL2NecromancerLvl100",,0x00056AA7,""
LVSP,,"LL2NightbladeLvl100",,0x00056AA8,""
LVSP,,"LL2PriestLvl100",,0x00056AA9,""
LVSP,,"LL2RogueLvl100",,0x00056AAA,""
LVSP,,"LL2SorcererLvl100",,0x00056AAB,""
LVSP,,"LL2SpellswordLvl100",,0x00056AAC,""
LVSP,,"LL2WarlockLvl100",,0x00056AAD,""
LVSP,,"LL2WitchLvl100",,0x00056AAE,""
LVSP,,"LL2WitchhunterLvl100",,0x00056AAF,""
LVSP,,"LL0DisintegrateMajor100",,0x00058EE5,""
LVSP,,"LL0DisintegrateMajorLvl100",,0x00058EE6,""
LVSP,,"LL2MarauderMage100",,0x00058EE7,""
LVSP,,"LL2CreatureGoblinShaman100",,0x0005948F,""
LVSP,,"LL2CreatureImp100",,0x00059490,""
LVSP,,"LL2CreatureLich100",,0x00059491,""
LVSP,,"LL2CreatureLichNether100",,0x00059492,""
LVSP,,"LL2CreatureXivilai100",,0x0005D2B9,""
LVSP,,"LL2CreatureWraithFaded100",,0x0005D2BA,""
LVSP,,"LL2CreatureWraithGloom100",,0x0005D4A0,""
LVSP,,"LL2CreatureScampStunted100",,0x0005D4A2,""
LVSP,,"LL2CreatureWraith100",,0x0005D4A3,""
LVSP,,"LL2CreatureDremora100",,0x0005D55A,""
LVSP,,"xxxLL2CreatureXivilai100MQ15old",,0x000872D9,""
LVSP,,"LL0DremoraMageSummonLvl100",,0x000887F5,""
LVSP,,"LL2CreatureSpiderDaedra100",,0x000887F6,""
LVSP,,"LL0DremoraAbilityLvl100",,0x000897A5,""
LVSP,,"CGGoblinWitch100",,0x00090617,""
LVSP,,"LL1ConjurationNoWeapAllMinor100",,0x0017C9F0,""
LVSP,,"LL1ConjurationNoWeapAllMinorLvl100",,0x0017C9F1,""
LVSP,,"LL1ConjurationNoArmorAllMajor100",,0x0017C9F2,""
LVSP,,"LL1ConjurationNoArmorAllMajorLvl100",,0x0017C9F3,""
LVSP,,"LL1ConjurationNoArmorAllMinor100",,0x0017C9F4,""
LVSP,,"LL1ConjurationNoArmorAllMinorLvl100",,0x0017C9F5,""
LVSP,,"LL0DiseaseRat25",,0x00181D0E,""
LVSP,,"LL0DiseaseZombie25",,0x00181D0F,""
LVSP,,"LL0DiseaseZombieHeadless33",,0x00181D10,""
LVSP,,"LL0DiseaseDeer10",,0x00181D11,""
LVSP,,"LL0DiseaseSheep10",,0x00181D12,""
LVSP,,"LL0DiseaseDog10",,0x00181D13,""
LVSP,,"LL0DiseaseWolf10",,0x00181D14,""
LVSP,,"LL0DiseaseBoar10",,0x00181D15,""
LVSP,,"LL0DiseaseBear10",,0x00181D16,""
LVSP,,"LL0DiseaseMountainLion10",,0x00181D17,""
LVSP,,"LL0DiseaseMudcrab15",,0x00181D18,""
LVSP,,"LL0DiseaseSlaughterfish10",,0x00181D19,""
LVSP,,"LL2CreatureSummonedSpiderDaedra100",,0x0018BA23,""
LVSP,,"LL2CreatureSummonedXivilai100",,0x0018BA26,""
LVSP,,"LL2CreatureSummonedLich100",,0x0018BA27,""
LVSP,,"MQ15XivilaiSpells",,0x000B073B,""
LVSP,,"MG14RewardSpellList",,0x000C481F,""
LVSP,,"LL0DestructionTargetMajor100",,0x000CA0D9,""
LVSP,,"LL0DestructionTargetMajorLvl100",,0x000CA0DA,""
LVSP,,"LL0DestructionTouchMajor100",,0x000CA0DB,""
LVSP,,"LL0DestructionTouchMajorLvl100",,0x000CA0DC,""
LVSP,,"LL0AbsorbFatigueMajor100",,0x000CA0DD,""
LVSP,,"LL0AbsorbFatigueMajorLvl100",,0x000CA0DE,""
LVSP,,"GuardShield100",,0x00014F39,""
LVSP,,"GuardHeal100",,0x00014F3A,""
LVSP,,"LL0SummonUndeadNetherLich100",,0x00000F9F,""
LVSP,,"LL1DestructionTouchNetherLich100",,0x00000FA0,""
LVSP,,"LL2CreatureXivilai100NOSUMMON",,0x0000104F,""
LVSP,,"LL2Bard100",,0x00003881,""
LVSP,,"LL2Agent100",,0x00003883,""
LVSP,,"LL2CreatureDremoraNoBuff100",,0x00003AC6,""
LVSP,,"LL0SummonUndeadForLich100",,0x00005291,""
LVSP,,"FGTrollSpells",,0x0000C4EB,""
LVSP,,"MG17NecromancerLvl100",,0x0000C730,""
LVSP,,"MG17Necromancer100",,0x0000C731,""
LVSP,,"MG17Battlemage100",,0x0000C732,""
LVSP,,"SELL2ZealotSpells100",,0x000411A1,""
LVSP,,"SELL2DarkSeducer100",,0x0004151B,""
LVSP,,"SELL2GoldenSaint100",,0x0004151C,""
LVSP,,"SELL2GoldenSaintMage100",,0x0004151D,""
LVSP,,"SELL2DarkSeducerMage100",,0x0004151E,""
LVSP,,"SELL1DarkSeducerDestruction100",,0x0004151F,""
LVSP,,"SELL1GoldenSaintRestoration100",,0x00041520,""
LVSP,,"SELL1GoldenSaintDestruction100",,0x00041521,""
LVSP,,"SELL1DestructionRangedOrderKnight100",,0x00041F69,""
LVSP,,"SELL1DestructionRangedOrderKnightLvl100",,0x00041F6A,""
LVSP,,"SELL2OrderPriest1",,0x00044C4B,""
LVSP,,"SELL0BoundWeaponBlade100",,0x00044C4C,""
LVSP,,"SELL2OrderPriest2",,0x00044C4D,""
LVSP,,"SELL1DestructionFrostMajor100",,0x00044C4E,""
LVSP,,"SELL1DestructionFireMajor100",,0x00044C4F,""
LVSP,,"SELL1DestructionShockMajor100",,0x00044C50,""
LVSP,,"SELL1DestructionDamHealthMajor100",,0x00044C51,""
LVSP,,"SELL1DestructionDamHealthMinor100",,0x00044C52,""
LVSP,,"SELL1DestructionFireMinor100",,0x00044C53,""
LVSP,,"SELL1DestructionShockMinor100",,0x00044C54,""
LVSP,,"SELL1DestructionFrostMinor100",,0x00044C55,""
LVSP,,"SELL1RestorationAbsorb100",,0x00044C56,""
LVSP,,"SELL2OrderPriest3",,0x00044C57,""
LVSP,,"SELL2OrderPriest4",,0x00044C58,""
LVSP,,"SELL2OrderPriest5",,0x00044C59,""
LVSP,,"SELL0DiseaseBaliwog15",,0x00044E66,""
LVSP,,"SELL0SummonHunger100",,0x000459AE,""
LVSP,,"SELL0SummonHungerLvl100",,0x000459AF,""
LVSP,,"SELL0SummonShambles100",,0x0004DC41,""
LVSP,,"SELL0SummonShamblesLvl100",,0x0004DC43,""
LVSP,,"SELL2HereticSpells100",,0x0004DC44,""
LVSP,,"SELL0SummonUndeadMajor100",,0x00052F5F,""
LVSP,,"SELL0SummonUndeadMajorLvl100",,0x00052F60,""
LVSP,,"SELL0ElytraPoison1",,0x00054C9B,""
