GENERIC EDID,NEW EDID
0BMUwolfUsnowUunique,0BMwolfsnowunique
0bonelordUsummon,0BoneLord
0BonewalkerUGreater,0BoneWalkerGreater
0bonewalkerUsummon,0BoneWalker
0centurionUprojectile,0CenturionProjectile
0centurionUprojectileUC,0CenturionProjectileC
0centurionUshockUbaladas,mwCenturionShockBaladas
0centurionUsphere,0CenturionSphere
0centurionUsphereUbbot1,fbmwCenturionSphereBbot1
0centurionUsphereUbbot5,fbmwCenturionSphereBbot5
0centurionUsphereUbbot6,fbmwCenturionSphereBbot6
0centurionUsteam,0CenturionSteam
0centurionUsteamUadvance,0CenturionSteamAdvance
0centurionUsteamUAUC,0CenturionSteamAC
0centurionUsteamUbbot2,fbmwCenturionSteambbot2
0centurionUsteamUbbot4,fbmwCenturionSteambbot4
0centurionUsteamUbbot8,fbmwCenturionSteambbot8
0centurionUsteamUCUL,0CenturionSteamCL
0centurionUsteamUdead,fbmwCenturionSteambbotDead
0centurionUsteamUexhibit,0CenturionSteamExhibit
0clannfear,0Clanfear
0cliffSracer,0CliffRacer
0cliffSracerUblighted,0CliffRacerBlighted
0cliffSracerUdiseased,0CliffRacerDiseased
0corprusUlame,0CorprusLame
0corprusUlameUfyr01,0CorprusLameCorprusarium
0corprusUlameUmorvayn,0CorprusLameMorvayn
0corprusUstalker,0CorprusStalker
0corprusUstalkerUberwen,fbmwcorprusberwen
0corprusUstalkerUfyr01,0CorprusStalkerCorprusarium
0corprusUstalkerUmorvayn,0CorprusStalkerMorvayn
0daedrothUmentaUunique,fbmwDaedrothMenta
0daedrothUsummon,0Daedroth
0dagothSaladus,0DaedrothBaldas
0dagothSaraynys,0DagothAraynys
0dagothSbaler,0DagothBaler
0dagothSdaynil,0DagothDaynil
0dagothSdelnus,0DagothDelnus
0dagothSdrals,0DagothDrals
0DagothSDraven,0DagothDraven
0dagothSelam,0DagothElam
0dagothSendus,0DagothEndus
0dagothSfals,0DagothFals
0dagothSfandril,0DagothFandril
0dagothSfelmis,0DagothFelmis
0dagothSfervas,0DagothFervas
0dagothSfovon,0DagothFovon
0dagothSgalmis,0DagothGalmis
0dagothSgarel,0DagothGanel
0dagothSgares,0DagothGarel
0dagothSgilvoth,0DagothGilvoth
0dagothSgirer,0DagothGirer
0dagothSgoral,0DagothGoral
0dagothSienas,0DagothIenas
0dagothSirvyn,0DagothIrvyn
0dagothSmendras,0DagothMendras
0dagothSmolos,0DagothMolos
0dagothSmulis,0DagothMulyn
0dagothSmuthes,0DagothMuthes
0dagothSnilor,0DagothNilor
0dagothSodros,0DagothOdros
0dagothSralas,0DagothRalas
0dagothSrather,0DagothRather
0dagothSreler,0DagothReler
0dagothSsoler,0DagothSoler
0dagothStanis,0DagothTanis
0dagothStureynul,0DagothTureynul
0dagothSulen,0DagothUlen
0dagothSuthol,0DagothUthol
0dagothSuvil,0DagothUvil
0dagothSvaner,0DagothVaner
0dagothSvelos,0DagothVelos
0dagothSvemyn,0DagothVemyn
0dagothUhlevul,0DagothHlevul
0DahrkSMezalf,fbmwHTDahrkMezalfGhost
0draugrUcoU3,fbmwCo3Draugr
0durzogUdiseased,fbmwdurzogUdiseased
0durzogUwar,fbmwdurzogUwar
0durzogUwarUtrained,fbmwdurzogUwarUtrained
0durzogUwild,fbmwdurzogUwild
0durzogUwildUweaker,fbmwdurzogUwildUweaker
0dwarvenSghost,0DwarvenSpectre
0fabricantUhulking,fbmwFabricantHulk
0fabricantUhulkingUattac,fbmwFabricantHulkAttack
0fabricantUhulkingUC,fbmwfabricanthulkingC
0fabricantUhulkingUCUL,fbmwfabricanthulkingCL
0fabricantUhulkingUss,fbmwfabricanthulkingSS
0fabricantUmachineU1,fbmwFabricantMachine
0fabricantUverminous,fbmwFabricantVerm
0fabricantUverminousDead,fbmwFabricantVerminousDead
0fabricantUverminousTrs,fbmwFabricantVerminousRS
0fabricantUverminousUC,fbmwFabricantVerminousC
0fabricantUvermUattack,fbmwFabricantVermAttack
0gatewayUhaunt,0GatewayHaunt
0glenmorilUraven,fbmwBMGlenmorilRaven
0goblinUbruiser,fbmwGoblinBruiser
0goblinUfootsoldier,fbmwGoblinFootsoldier
0goblinUgrunt,fbmwGoblinGrunt
0goblinUhandler,fbmwGoblinHandler
0goblinUofficer,fbmwGoblinOfficer
0goblinUwarchief1,fbmwTRGoblinChief1
0goblinUwarchief2,fbmwTRGoblinChief2
0goldenSsaint,0GoldenSaint
0goldenSsaintUstaada,0Staada
0Imperfect,fbmwImperfect
0kagoutiUblighted,0KagoutiBlighted
0kagoutiUdiseased,0KagoutiDiseased
0kagoutiUmating,fbmwmatingkagouti
0kwamaSforager,0KwamaForager
0kwamaSforagerSblighted,0KwamaForagerBlighted
0KwamaSQueen,0KwamaQueen
0kwamaSqueenUgnisis,mwKwamaQueenGnisis
0KwamaSQueenUHHEM,0KwamaQueenHHEM
0kwamaSqueenUmudan,mwKwamaQueenMudanMull
0kwamaSwarrior,0KwamaWorker
0kwamaSwarriorSblighted,0KwamaWorkerBlighted
0kwamaSwarriorSshurdan,mwKwamaQueenShurdanRaplay
0kwamaSworker,0KwamaWarrior
0kwamaSworkerSblighted,0KwamaWarriorBlighted
0kwamaSworkerSdiseased,0KwamaWorkerDiseased
0lich,mwLich
0lichUrelvel,0LichRrelvel
0lustidrike,fbmwLustidrikeScamp
0mudcrabTDiseased,0MudCrabDiseased
0mudcrabUhrmudcrabnest,0MudCrabHRMudcrabNest
0netchUbetty,0NetchBetty
0netchUbull,0NetchBull
0NetchUGiantUUNIQUE,fbmwdagiantnetch
0nixThound,0NixHound
0nixThoundSblighted,0NixHoundBlighted
0ogrimStitanUvelas,0OgrimTitanVelas
0ratUblighted,0RatBlighted
0ratUdiseased,0RatDiseased
0ratUtelvanniUunique,fbmwRattelvanniUnique
0ratUtelvanniUuniqueU2,fbmwRattelvanniUnique2
0scampUmgUapprentice,fbmwMGApprenticeScamp
0scampUsummon,0Scamp
0scribSblighted,0ScribBlighted
0scribSdiseased,0ScribDiseased
0shalkUblighted,0ShalkBlighted
0shalkUdiseased,0ShalkDiseased
0skeleton,0Skeleton1
0skeletonSarcher,0Skeleton1Archer
0skeletonSchampion,0Skeleton4Champion
0skeletonUaldredaynia,0SkeletonAldredaynia
0skeletonUrelvel,0SkeletonURevel
0wingedStwilight,0WingedTwilight
0Sand,mwComSand01Tex
0ACUdarkgravel,mwACdarkgravelTex
0ACUdarkstone01,mwACdarkstone01Tex
0ACUdarkstone02,mwACdarkstone02Tex
0ACUdarkstoneUgrass,mwACdarkstonegrassTex
0ACUdirtU01,mwACdirt01Tex
0ACUdirtUgrassU01,mwACdirtgrass01Tex
0ACUdirtUgrassU02,mwACdirtgrass02Tex
0ACUdirtroadU01,mwACdirtroad01Tex
0ACUroundstone,mwACroundstoneTex
0ACUscrubplainU01,mwACscrubplain01Tex
0ACUscrubplainU02,mwACscrubplain02Tex
0AIUClover,mwAICloverTex
0AIUGrassUCobbles,mwAICobblestoneTex
0AIUDirtroad,mwAIDirtroadTex
0AIUDirt,mwAIDirtTex
0AIUGrassU02,mwAIGrass02Tex
0AIUGrassUDirt,mwAIGrassDirtTex
0AIUGrassURocky,mwAIGrassRockyTex
0AIUGrass,mwAIGrassTex
0TxUAIUmainroadU01Ptga,mwAImainroad01Tex
0TxUAIUmudflatsU01Ptga,mwAImudflats01Tex
0AIUmudflatsU01Ptga,mwAIMudflatsTex
0AIUTilledUDirt,mwAITilledDirtTex
0ALUashU01,mwALash01Tex
0ALUashU02,mwALash02Tex
0ALUashU03,mwALash03Tex
0ALUashU04,mwALash04Tex
0ALUroadU01,mwALroad01Tex
0TxUBCUbankPtga,mwBCbankTex
0TxUBCUdirtPtga,mwBCdirtTex
0TxUBCUgrassPtga,mwBCgrassTex
0TxUBCUmainroadU01Ptga,mwBCmainroadTex
0TxUBCUmossPtga,mwBCmossTex
0TxUBCUmuckU01Ptga,mwBCmuck01Tex
0TxUBCUmuckPtga,mwBCmuckTex
0TxUBCUmudPtga,mwBCmudTex
0TxUBCUrockU01Ptga,mwBCrock01Tex
0TxUBCUrockU02Ptga,mwBCrock02Tex
0TxUBCUrockU03Ptga,mwBCrock03Tex
0TxUBCUrockU04Ptga,mwBCrock04Tex
0TxUBCUrockyscrubPtga,mwBCrockyscrubTex
0TxUBCUscrubPtga,mwBCscrubTex
0TxUBCUundergrowthPtga,mwBCundergrowthTex
0TxUBMUcobblestoneU01Pdds,mwBMcobblestoneU01Tex
0TxUBMUdirtU01Pdds,mwBMdirtU01Tex
0TxUBMUdirtUsnowU01Pdds,mwBMdirtUsnowU01Tex
0TxUBMUsnowU03Pdds,mwBMdirtUsnowU01Tex
0TxUBMUgrassUsnowU03Pdds,mwBMGrassSnowTex
0TxUBMUgrassU01Pdds,mwBMGrassSnowTex
0TxUBMUgrassU02Pdds,mwBMGrassSnowTex
0TxUBMUgrassU03Pdds,mwBMGrassSnowTex
0TxUBMUgrassUdirtU01Pdds,mwBMGrassSnowTex
0TxUBMUgrassUsnowU02aPdds,mwBMGrassSnowTex
0TxUBMUgrassUsnowU01Pdds,mwBMGrassSnowTex
0TxUBMUgrassUsnowU02Pdds,mwBMGrassSnowTex
0TxUBMUiceU01Pdds,mwBMiceU01Tex
0TxUBMUiceU02Pdds,mwBMiceU02Tex
0TxUBMUiceU03Pdds,mwBMiceU03Tex
0TxUBMUiceU04Pdds,mwBMiceU04Tex
0TxUBMUiceU05Pdds,mwBMiceU05Tex
0TxUBMUiceU06Pdds,mwBMiceU06Tex
0TxUBMUpineUneedlesU01Pdds,mwBMpineUneedlesU01Tex
0TxUBMUrockU01Pdds,mwBMrockU01Tex
0TxUBMUrockU02Pdds,mwBMrockU02Tex
0TxUBMUrockU03Pdds,mwBMrockU03Tex
0TxUBMUrockUdirtU01Pdds,mwBMrockUdirtU01Tex
0TxUBMUsnowUrockU01Pdds,mwBMrockUsnowU01aTex
0TxUBMUrockUsnowU01Pdds,mwBMrockUsnowU01aTex
0TxUBMUrockUsnowU01aPdds,mwBMrockUsnowU01aTex
0TxUBMUrockUsnowU02aPdds,mwBMrockUsnowU02aTex
0TxUBMUrockUsnowU02Pdds,mwBMrockUsnowU02Tex
0TxUBMUrockUsnowU03Pdds,mwBMrockUsnowU03Tex
0TxUBMUsnowU01Pdds,mwBMsnowU01Tex
0TxUBMUsnowU02Pdds,mwBMsnowU02Tex
0TxUBMUsnowU04Pdds,mwBMsnowU04Tex
0TxUBMUsnowU05Pdds,mwBMsnowU05Tex
0TxUBMUsnowUiceU01Pdds,mwBMsnowUiceU01Tex
0DaedricUscrubruins,mwComDaedricScrubruinsTex
0DaedricSStone,mwComDaedricStoneTex
0TxUlandUdarkstone01Ptga,mwComLandDarkstone01Tex
0TxUlandUdarkstone02Ptga,mwComLandDarkstone02Tex
0lavacrust01Ptga,mwComLavacrust01Tex
0txUlavacrust00Ptga,mwComLavacrust01Tex
0lavacrust02Ptga,mwComLavacrust02Tex
0RoadSDirt,mwComRoadDirtTex
0RockUCoastal,mwComRockCoastalTex
0TxUrockyscrubU01Ptga,mwComRockyscrubTex
0txURockyUMtPtga,mwComRockyTex
0SandU02,mwComSand02Tex
0ScrubSPlain,mwComScrubPlainTex
0GLUDirtU01,mwGZDirt01Tex
0GLUDirtU02,mwGZDirt02Tex
0GLUDirtUGrassU01,mwGZDirtGrass01Tex
0GLUDirtUGrassU02,mwGZDirtGrass02Tex
0GLUDirtroad,mwGZDirtroadTex
0GLUGrassU01,mwGZGrass01Tex
0GLUGrassU02,mwGZGrass02Tex
0GLUGrassU03,mwGZGrass03Tex
0GLUGrassU04,mwGZGrass04Tex
0GLUGrassU05,mwGZGrass05Tex
0GLURockU01,mwGZRock01Tex
0GLURockU02,mwGZRock02Tex
0MAUcrackedearth,mwMAcrackedearthTEX
0MAUlava02,mwMAlava02Tex
0MAUlava03,mwMAlava03Tex
0MAUlava04,mwMAlava04Tex
0MAUlava05,mwMAlava05Tex
0MAUlava06,mwMAlava06Tex
0MAUlavacrustPtga,mwMAlavacrustTex
0MAUlavaflow,mwMAlavaflowTex
0MAUlavaridge,mwMAlavaridgeTex
0MAUlavarock,mwMAlavarockTex
0MAUlava,mwMAlavaTex
0MAUrock04,mwMArock04Tex
0MAUsandstone02,mwMAsandstone02Tex
0MAUsulphurUrock01,mwMAsulphurUrock01Tex
0MAUsulphurUrock02,mwMAsulphurUrock02Tex
0MAUsulphurUrock03,mwMAsulphurUrock03Tex
0MAUsulphurUrock05,mwMAsulphurUrock05Tex
0MAUsulphurUrock06,mwMAsulphurUrock06Tex
0MAUsulphurUrock07,mwMAsulphurUrock07Tex
0MAUsulphurUrock08,mwMAsulphurUrock08Tex
0MAUsulphurUrock09,mwMAsulphurUrock09Tex
0TxURMUgrayrockU01Ptga,mwRMgrayrock01Tex
0RMUgrayrock,mwRMgrayrockTex
0RMUredrock,mwRMredrockTex
0RMUrockU01,mwRMrock01Tex
0RMUrockU02,mwRMrock02Tex
0RMUrockU03,mwRMrock03Tex
0RMUwhiterock,mwRMwhiterockTex
0WGUcobblestones,mwWGcobblestonesTex
0WGUdirtroadU01,mwWGdirtroadTex
0WGUdirtscrub,mwWGdirtscrubTex
0WGUmainroadU01,mwWGmainroadTex
0WGUroad,mwWGroadTex
0TxUrockUWGU01Ptga,mwWGrock01Tex
0WGUrock,mwWGrockTex
0WGUrockydirt,mwWGrockydirtTex
0WGUrockyscrub,mwWGrockyscrubTex
0WGUScrubSPlain,mwWGScrubPlainTex
0FightersSGuild,fbmwFightersGuild
0MagesSGuild,fbmwMagesGuild
Day,GameDay
DaysPassed,GameDaysPassed
Month,GameMonth
Year,GameYear
Hour,GameHour
mwTRDBAttack,fbmwTRDBAttack
0DoorMarker,DoorMarker
0TravelMarker,TravelMarker
0DivineMarker,DivineMarker
0TempleMarker,TempleMarker
0goldU001,Gold001
0skillraise,UIStatsSkillUp
