Record Type,Mod File,EDID,blank,FormID,Comments
npc_,Tamriel_Data,"0truroameruassassinu16b",,0x301379c,38
npc_,Tamriel_Data,"0truroameruassassinu5a",,0x3013799,39
npc_,Tamriel_Data,"0truroameruassassinu5b",,0x301379d,40
npc_,Tamriel_Data,"0truroameruchiefu18a",,0x301379a,41
npc_,Tamriel_Data,"0truroameruchiefu18b",,0x301379b,42
npc_,Tamriel_Data,"0truroameruchiefu7a",,0x301379e,43
npc_,Tamriel_Data,"0truroameruchiefu7b",,0x301379f,44
npc_,Tamriel_Data,"0truroameruhunteru12a",,0x30137a0,45
npc_,Tamriel_Data,"0truroameruhunteru12b",,0x30137a1,46
npc_,Tamriel_Data,"0truroameruhunteru4a",,0x30137a2,47
npc_,Tamriel_Data,"0truroameruhunteru4b",,0x30137a3,48
npc_,Tamriel_Data,"0truroamerurogueu16a",,0x30137a4,49
npc_,Tamriel_Data,"0truroamerurogueu16b",,0x30137a5,50
npc_,Tamriel_Data,"0truroamerurogueu5a",,0x30137a6,51
npc_,Tamriel_Data,"0truroamerurogueu5b",,0x30137a7,52
npc_,Tamriel_Data,"0truroameruscoutu10a",,0x30137a8,53
npc_,Tamriel_Data,"0truroameruscoutu10b",,0x30137a9,54
npc_,Tamriel_Data,"0truroameruscoutu3a",,0x30137aa,55
npc_,Tamriel_Data,"0truroameruscoutu3b",,0x30137ab,56
npc_,Tamriel_Data,"0trutelvannisguardu02",,0x30137c7,57
npc_,Tamriel_Data,"0trutelvannisguardu02us",,0x30137c8,58
npc_,Tamriel_Data,"0trutelvuguard",,0x30137c5,59
npc_,Tamriel_Data,"0trutelvuguardus",,0x30137c6,60
npc_,Tamriel_Data,"0trutestnpcubeastufemale",,0x30137c9,61
npc_,Tamriel_Data,"0trutestnpcubeastumale",,0x30137ca,62
npc_,Tamriel_Data,"0trutestnpcuhumanufemale",,0x30137cb,63
npc_,Tamriel_Data,"0trutestnpcuhumanumale",,0x30137cc,64
armo,Tamriel_Data,"0tuakauregularushieldu01",,0x301128f,65
armo,Tamriel_Data,"0tuarguhistucuirassu01",,0x3011244,66
armo,Tamriel_Data,"0tuarguhistucuirassufreedom",,0x3011288,67
armo,Tamriel_Data,"0tuarguhistucuirassuvisitor",,0x3011289,68
clot,Tamriel_Data,"0tuayluamuletu01",,0x3010e44,69
misc,Tamriel_Data,"0tuaylucoinbigu01",,0x30104de,70
misc,Tamriel_Data,"0tuaylucoingoldu01",,0x30104df,71
misc,Tamriel_Data,"0tuaylucoinsquareu01",,0x30104e0,72
crea,Tamriel_Data,"0tuaylucreuwelkspru01",,0x3013823,73
spel,Tamriel_Data,"0tuayludesudwelkyndufir",,0x3010180,74
spel,Tamriel_Data,"0tuayludesudwelkyndufrs",,0x3010181,75
spel,Tamriel_Data,"0tuayludesudwelkyndushk",,0x3010182,76
acti,Tamriel_Data,"0tuayludngruinubuttonuexample",,0x301143a,77
door,Tamriel_Data,"0tuayludngruinudoorirondblopnu01",,0x3013057,78
door,Tamriel_Data,"0tuayludngruinudoorirondblu01",,0x3013058,79
door,Tamriel_Data,"0tuayludngruinudoorironsqru01",,0x3013056,80
door,Tamriel_Data,"0tuayludngruinudoorlightfixu01",,0x301304f,81
door,Tamriel_Data,"0tuayludngruinudoorstoneu01",,0x3013041,82
door,Tamriel_Data,"0tuayludngruinudoorstoneu02",,0x3013050,83
acti,Tamriel_Data,"0tuayludngruinudustcloudu01",,0x3011492,84
acti,Tamriel_Data,"0tuayludngruinudwelkuexampleuf01",,0x301143d,85
acti,Tamriel_Data,"0tuayludngruinudwelkuexampleur01",,0x301143b,86
acti,Tamriel_Data,"0tuayludngruinudwelkuexampleus01",,0x301143c,87
acti,Tamriel_Data,"0tuayludngruinudwelkugenericuf01",,0x3011434,88
acti,Tamriel_Data,"0tuayludngruinudwelkugenericur01",,0x3011436,89
acti,Tamriel_Data,"0tuayludngruinudwelkugenericus01",,0x3011437,90
acti,Tamriel_Data,"0tuayludngruinudwelkyndufirudum",,0x3011435,91
acti,Tamriel_Data,"0tuayludngruinudwelkyndufrsudum",,0x3011438,92
acti,Tamriel_Data,"0tuayludngruinudwelkyndushkudum",,0x3011439,93
stat,Tamriel_Data,"0tuayludngruinufuchainbaseu01",,0x3012f63,94
stat,Tamriel_Data,"0tuayludngruinufuchainu01",,0x3012f5f,95
stat,Tamriel_Data,"0tuayludngruinufuchainu02u1024",,0x3012f25,96
stat,Tamriel_Data,"0tuayludngruinufuchainu02u128",,0x3012f60,97
stat,Tamriel_Data,"0tuayludngruinufuchainu02u256",,0x3012f61,98
stat,Tamriel_Data,"0tuayludngruinufuchainu02u512",,0x3012f24,99
stat,Tamriel_Data,"0tuayludngruinufuchainu02u64",,0x3012f62,100
furn,Tamriel_Data,"0tuayludngruinufuchairu01",,0x3012ff4,101
stat,Tamriel_Data,"0tuayludngruinufuchestu01",,0x3012f1b,102
stat,Tamriel_Data,"0tuayludngruinufuchestu02",,0x3012f1c,103
stat,Tamriel_Data,"0tuayludngruinufuchestu03",,0x3012f1d,104
stat,Tamriel_Data,"0tuayludngruinufuchestu04",,0x3012f1e,105
stat,Tamriel_Data,"0tuayludngruinufulanternu01",,0x3012f64,106
stat,Tamriel_Data,"0tuayludngruinufulanternu02",,0x3012f65,107
stat,Tamriel_Data,"0tuayludngruinufutableu01",,0x3012f66,108
stat,Tamriel_Data,"0tuayludngruinuiublocku01",,0x30126db,109
stat,Tamriel_Data,"0tuayludngruinuiublocku02",,0x30126dc,110
stat,Tamriel_Data,"0tuayludngruinuiuchainbaseu01",,0x3012720,111
stat,Tamriel_Data,"0tuayludngruinuiuchainu01",,0x301271f,112
stat,Tamriel_Data,"0tuayludngruinuiuchainu02u128",,0x3012f21,113
stat,Tamriel_Data,"0tuayludngruinuiuchainu02u256",,0x3012f22,114
stat,Tamriel_Data,"0tuayludngruinuiuchainu02u64",,0x3012f20,115
furn,Tamriel_Data,"0tuayludngruinuiuchairu01",,0x3012ff3,116
stat,Tamriel_Data,"0tuayludngruinuiudoorframeu01",,0x3012721,117
stat,Tamriel_Data,"0tuayludngruinuiudoorframeu02",,0x3012722,118
stat,Tamriel_Data,"0tuayludngruinuiudoorframeu03",,0x3012723,119
stat,Tamriel_Data,"0tuayludngruinuiuentrancesprlu01",,0x301255e,120
stat,Tamriel_Data,"0tuayludngruinuiuentranceu01",,0x3012629,121
stat,Tamriel_Data,"0tuayludngruinuiuflooru01",,0x30125bc,122
stat,Tamriel_Data,"0tuayludngruinuiuhall3wayu01",,0x301255b,123
stat,Tamriel_Data,"0tuayludngruinuiuhall4wayu01",,0x301255c,124
stat,Tamriel_Data,"0tuayludngruinuiuhallendu01",,0x3012588,125
stat,Tamriel_Data,"0tuayludngruinuiuhallendu02",,0x3012589,126
stat,Tamriel_Data,"0tuayludngruinuiuhallstairu01",,0x301258a,127
stat,Tamriel_Data,"0tuayludngruinuiuhallturnu01",,0x301255d,128
stat,Tamriel_Data,"0tuayludngruinuiuhallu01",,0x301255a,129
stat,Tamriel_Data,"0tuayludngruinuiulanternu01",,0x3012724,130
stat,Tamriel_Data,"0tuayludngruinuiulanternu02",,0x3012725,131
stat,Tamriel_Data,"0tuayludngruinuiulightfixu01",,0x3012726,132
stat,Tamriel_Data,"0tuayludngruinuiulightfixu02",,0x3012727,133
stat,Tamriel_Data,"0tuayludngruinuiulightfixu03",,0x3012728,134
stat,Tamriel_Data,"0tuayludngruinuiupedestalu01",,0x3012306,135
stat,Tamriel_Data,"0tuayludngruinuiupedestalu02",,0x3012ecc,136
stat,Tamriel_Data,"0tuayludngruinuiupitceilingu01",,0x301258f,137
stat,Tamriel_Data,"0tuayludngruinuiupitcornertu01",,0x301258b,138
stat,Tamriel_Data,"0tuayludngruinuiupitflooredcru01",,0x301258c,139
stat,Tamriel_Data,"0tuayludngruinuiupitflooredstu01",,0x301258d,140
stat,Tamriel_Data,"0tuayludngruinuiupitflooru01",,0x301258e,141
stat,Tamriel_Data,"0tuayludngruinuiupitwallcu01u",,0x30125ba,142
stat,Tamriel_Data,"0tuayludngruinuiupitwalltentru01",,0x3012593,143
stat,Tamriel_Data,"0tuayludngruinuiupitwallttrslu01",,0x3012594,144
stat,Tamriel_Data,"0tuayludngruinuiupitwallttrsru01",,0x3012595,145
stat,Tamriel_Data,"0tuayludngruinuiupitwalltu01",,0x3012591,146
stat,Tamriel_Data,"0tuayludngruinuiupitwalltu02",,0x3012592,147
stat,Tamriel_Data,"0tuayludngruinuiupitwallu01",,0x3012590,148
stat,Tamriel_Data,"0tuayludngruinuiuridgeextu01",,0x301265c,149
stat,Tamriel_Data,"0tuayludngruinuiuridgegrendu01",,0x301265f,150
stat,Tamriel_Data,"0tuayludngruinuiuridgegrextu01",,0x3012660,151
stat,Tamriel_Data,"0tuayludngruinuiuridgelendu01",,0x301265d,152
stat,Tamriel_Data,"0tuayludngruinuiuridgelextu01",,0x301265e,153
stat,Tamriel_Data,"0tuayludngruinuiuridgeu01",,0x301265b,154
stat,Tamriel_Data,"0tuayludngruinuiuroomceilingu01",,0x3012596,155
stat,Tamriel_Data,"0tuayludngruinuiuroomceilingu02",,0x3012307,156
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnextbu01",,0x3012598,157
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnextlu01",,0x3012599,158
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnextru01",,0x301259a,159
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnou01",,0x301259b,160
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnsecrbu01",,0x301259c,161
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnsecrlu01",,0x301259d,162
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnsecrru01",,0x301259e,163
stat,Tamriel_Data,"0tuayludngruinuiuroomcrnu01",,0x3012597,164
stat,Tamriel_Data,"0tuayludngruinuiuroomflredcrnu01",,0x301259f,165
stat,Tamriel_Data,"0tuayludngruinuiuroomflredstru01",,0x30125a0,166
stat,Tamriel_Data,"0tuayludngruinuiuroomflru01",,0x30125a1,167
stat,Tamriel_Data,"0tuayludngruinuiuroomwallextu01",,0x30125a3,168
stat,Tamriel_Data,"0tuayludngruinuiuroomwallextwu01",,0x30125a4,169
stat,Tamriel_Data,"0tuayludngruinuiuroomwallextwu02",,0x3012729,170
stat,Tamriel_Data,"0tuayludngruinuiuroomwallextwu03",,0x301272a,171
stat,Tamriel_Data,"0tuayludngruinuiuroomwallextwu04",,0x301272b,172
stat,Tamriel_Data,"0tuayludngruinuiuroomwallsecru01",,0x30125a5,173
stat,Tamriel_Data,"0tuayludngruinuiuroomwallu01",,0x30125a2,174
stat,Tamriel_Data,"0tuayludngruinuiurubblepileu01",,0x30126d9,175
stat,Tamriel_Data,"0tuayludngruinuiurubblepileu02",,0x30126da,176
stat,Tamriel_Data,"0tuayludngruinuiusecrtunnlendu01",,0x30125a7,177
stat,Tamriel_Data,"0tuayludngruinuiusecrtunnlu01",,0x30125a6,178
stat,Tamriel_Data,"0tuayludngruinuiusecrwallu01",,0x30125a8,179
stat,Tamriel_Data,"0tuayludngruinuiutableu01",,0x3012f23,180
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndchndlu01",,0x3012308,181
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndclstgu01",,0x3012312,182
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndclstu01",,0x3012309,183
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndclstwu01",,0x3012313,184
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndholdru01",,0x301230a,185
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndlumpu01",,0x301230b,186
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndplntu01",,0x3012314,187
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndplntwu01",,0x3012315,188
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnu01",,0x301230c,189
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnu02",,0x301230f,190
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnu03",,0x301230e,191
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnwu01",,0x3012310,192
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnwu02",,0x301230d,193
stat,Tamriel_Data,"0tuayludngruinuiuwelkyndstnwu03",,0x3012311,194
stat,Tamriel_Data,"0tuayludngruinuiuwideh3wayu01",,0x30125aa,195
stat,Tamriel_Data,"0tuayludngruinuiuwideh4crnu01",,0x30125ac,196
stat,Tamriel_Data,"0tuayludngruinuiuwideh4wayu01",,0x30125ab,197
stat,Tamriel_Data,"0tuayludngruinuiuwidehgatefu01",,0x301262a,198
stat,Tamriel_Data,"0tuayludngruinuiuwidehsecretu01",,0x30125ad,199
stat,Tamriel_Data,"0tuayludngruinuiuwidehstairbru01",,0x30125bf,200
stat,Tamriel_Data,"0tuayludngruinuiuwidehstairu01",,0x30125be,201
stat,Tamriel_Data,"0tuayludngruinuiuwidehtransu01",,0x30125ae,202
stat,Tamriel_Data,"0tuayludngruinuiuwidehu01",,0x30125a9,203
stat,Tamriel_Data,"0tuayludngruinuiuwindowleftu01",,0x301272c,204
stat,Tamriel_Data,"0tuayludngruinuiuwindowmiddleu01",,0x301272d,205
stat,Tamriel_Data,"0tuayludngruinuiuwindowrightu01",,0x301272e,206
stat,Tamriel_Data,"0tuayludngruinuiuwindowsectnlu01",,0x301272f,207
stat,Tamriel_Data,"0tuayludngruinuiuwindowsectnlu02",,0x3012730,208
ligh,Tamriel_Data,"0tuayludngruinulightdwelkynd",,0x301064b,209
ligh,Tamriel_Data,"0tuayludngruinulightvarlau128",,0x301063a,210
ligh,Tamriel_Data,"0tuayludngruinulightvarlau256",,0x301063b,211
ligh,Tamriel_Data,"0tuayludngruinulightvarlau512",,0x301063c,212
ligh,Tamriel_Data,"0tuayludngruinulightwelkyndu128",,0x301060f,213
ligh,Tamriel_Data,"0tuayludngruinulightwelkyndu256",,0x3010610,214
ligh,Tamriel_Data,"0tuayludngruinulightwelkyndu512",,0x3010611,215
ltex,Tamriel_Data,"0tuayludngruinutxflooru01",,0x3010d27,216
ligh,Tamriel_Data,"0tuayludngruinuvarla01u256",,0x3010639,217
ligh,Tamriel_Data,"0tuayludngruinuwelkynd01u64",,0x301063d,218
stat,Tamriel_Data,"0tuayludngruinuxubridgeu01",,0x301251d,219
stat,Tamriel_Data,"0tuayludngruinuxubridgeu02",,0x301251e,220
stat,Tamriel_Data,"0tuayludngruinuxubridgeu03",,0x301251f,221
stat,Tamriel_Data,"0tuayludngruinuxucirclewlkstpu01",,0x3012569,222
stat,Tamriel_Data,"0tuayludngruinuxucirclewlku01",,0x3012485,223
stat,Tamriel_Data,"0tuayludngruinuxuentranceu01",,0x3012623,224
stat,Tamriel_Data,"0tuayludngruinuxuhillentranceu01",,0x3012624,225
stat,Tamriel_Data,"0tuayludngruinuxuiblocku01",,0x3012634,226
stat,Tamriel_Data,"0tuayludngruinuxuiblocku02",,0x3012635,227
stat,Tamriel_Data,"0tuayludngruinuxuiblocku03",,0x3012636,228
stat,Tamriel_Data,"0tuayludngruinuxuinnercircleu01",,0x3012486,229
stat,Tamriel_Data,"0tuayludngruinuxuinnercircleu02",,0x3012520,230
stat,Tamriel_Data,"0tuayludngruinuxuinnercircleu03",,0x3012521,231
stat,Tamriel_Data,"0tuayludngruinuxuinnercircleu04",,0x3012522,232
stat,Tamriel_Data,"0tuayludngruinuxuinnercircleu05",,0x3012523,233
stat,Tamriel_Data,"0tuayludngruinuxuoblocku01",,0x3012637,234
stat,Tamriel_Data,"0tuayludngruinuxuoblocku02",,0x3012638,235
stat,Tamriel_Data,"0tuayludngruinuxuoblocku03",,0x3012639,236
stat,Tamriel_Data,"0tuayludngruinuxuoblocku04",,0x301263a,237
stat,Tamriel_Data,"0tuayludngruinuxuoblocku05",,0x301263b,238
stat,Tamriel_Data,"0tuayludngruinuxuoutercirclepu01",,0x301253b,239
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu01",,0x3012487,240
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu02",,0x3012535,241
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu03",,0x3012536,242
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu04",,0x3012537,243
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu05",,0x3012538,244
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu06",,0x3012539,245
stat,Tamriel_Data,"0tuayludngruinuxuoutercircleu07",,0x301253a,246
stat,Tamriel_Data,"0tuayludngruinuxupedestalu01",,0x3012625,247
stat,Tamriel_Data,"0tuayludngruinuxuplatformu01",,0x301275a,248
stat,Tamriel_Data,"0tuayludngruinuxuringinnerwlu01",,0x3012488,249
stat,Tamriel_Data,"0tuayludngruinuxuringlededgeu01",,0x3012489,250
stat,Tamriel_Data,"0tuayludngruinuxuspiralcolumnu01",,0x301248a,251
stat,Tamriel_Data,"0tuayludngruinuxuspiralstairsu01",,0x301248c,252
stat,Tamriel_Data,"0tuayludngruinuxustairsu01",,0x301248b,253
misc,Tamriel_Data,"0tuayludwelkyndinvu01",,0x301059f,254
keym,Tamriel_Data,"0tuaylukeyu01",,0x3010d74,255
armo,Tamriel_Data,"0tuaylusaliacheubootsu01",,0x3011290,256
armo,Tamriel_Data,"0tuaylusaliacheucuirassu01",,0x3011292,257
armo,Tamriel_Data,"0tuaylusaliacheugreavesu01",,0x3011291,258
armo,Tamriel_Data,"0tuaylusaliacheuhelmu01",,0x3011293,259
misc,Tamriel_Data,"0tuayluvarlainvu01",,0x301050c,260
misc,Tamriel_Data,"0tuayluwelkyndinvu01",,0x301050d,261
book,Tamriel_Data,"0tubkfactionudarkbrotherhpc",,0x3010f8b,262
book,Tamriel_Data,"0tubkfactionudarkbrotherhshotn",,0x3010e91,263
book,Tamriel_Data,"0tubkfactionufightersguildshotn",,0x3010e7f,264
book,Tamriel_Data,"0tubkfactionuimpculttr",,0x301103e,265
book,Tamriel_Data,"0tubkfactionuimperialcultshotn",,0x3010e6e,266
book,Tamriel_Data,"0tubkfactionuimperiallegionshotn",,0x3010e9a,267
book,Tamriel_Data,"0tubkfactionumagesguildshotn",,0x3010e80,268
book,Tamriel_Data,"0tubkgenubusinessledgeru01",,0x301119a,269
book,Tamriel_Data,"0tubkgenubusinessledgeru02",,0x301119b,270
book,Tamriel_Data,"0tubkgenubusinessledgeru03",,0x301119f,271
book,Tamriel_Data,"0tubkgenucensusrecordu01",,0x30111a3,272
book,Tamriel_Data,"0tubkgenucourtverdictsu01",,0x30111a5,273
book,Tamriel_Data,"0tubkgenucourtverdictsu02",,0x30111a6,274
book,Tamriel_Data,"0tubkgenucourtverdictsu03",,0x30111a7,275
book,Tamriel_Data,"0tubkgenulegioncasualtiesu01",,0x301119e,276
book,Tamriel_Data,"0tubkgenulegionservicerecordu01",,0x301119d,277
book,Tamriel_Data,"0tubkgenumessageregistryu01",,0x30111a4,278
book,Tamriel_Data,"0tubkgenuprisonledgeru01",,0x30111a2,279
book,Tamriel_Data,"0tubkgenushippinglogu02",,0x3011199,280
book,Tamriel_Data,"0tubkgenutrademanifest",,0x301119c,281
book,Tamriel_Data,"0tubkgenutrademanifestu01",,0x30111a0,282
book,Tamriel_Data,"0tubkgenutrademanifestu02",,0x30111a1,283
cont,Tamriel_Data,"0tubkmuflorausomnfern01",,0x30133dc,284
lvli,Tamriel_Data,"0tubkmurandomuflorsomnalius",,0x30108cf,285
book,Tamriel_Data,"0tubku16accordsmadnessshotnuv06",,0x3010ec6,286
book,Tamriel_Data,"0tubku16accordsmadnessshotnuv12",,0x3010ec7,287
book,Tamriel_Data,"0tubkuaboveitalltr",,0x3010ffd,288
book,Tamriel_Data,"0tubkuadabalapc",,0x3010f7e,289
book,Tamriel_Data,"0tubkuadabalashotn",,0x3010eac,290
book,Tamriel_Data,"0tubkuadabalatr",,0x301116e,291
book,Tamriel_Data,"0tubkuadvancesinlockpickingpc",,0x3010f58,292
book,Tamriel_Data,"0tubkuadventuresendtr",,0x3010ffe,293
book,Tamriel_Data,"0tubkuaevarstonesingershotn",,0x3010ee5,294
book,Tamriel_Data,"0tubkuaffairsofwizardstr",,0x3010fff,295
book,Tamriel_Data,"0tubkuahzirrtrajijazaeripc",,0x3010f59,296
book,Tamriel_Data,"0tubkuahzirrtrajijazaerishotn",,0x3010ea0,297
book,Tamriel_Data,"0tubkualchemistsguidetoskoomatr",,0x3011000,298
book,Tamriel_Data,"0tubkualmalexiahistorytr",,0x3011001,299
book,Tamriel_Data,"0tubkuamitelpcuv1",,0x3010fc8,300
book,Tamriel_Data,"0tubkuamitelpcuv2",,0x3010fc9,301
book,Tamriel_Data,"0tubkuamitelpcuv3",,0x3010fca,302
book,Tamriel_Data,"0tubkuamitelpcuv4",,0x3010fcb,303
book,Tamriel_Data,"0tubkuamitelpcuv5",,0x3010fcc,304
book,Tamriel_Data,"0tubkuamuletofkingspc",,0x3010f7f,305
book,Tamriel_Data,"0tubkuamuletofkingsshotn",,0x3010ead,306
book,Tamriel_Data,"0tubkuappraisalofabolitiontr",,0x3011002,307
book,Tamriel_Data,"0tubkuarcanarestoredshotn",,0x3010e69,308
book,Tamriel_Data,"0tubkuargonianaccountpcuv1",,0x3010f80,309
book,Tamriel_Data,"0tubkuargonianaccountpcuv2",,0x3010f81,310
book,Tamriel_Data,"0tubkuargonianaccountpcuv3",,0x3010f82,311
book,Tamriel_Data,"0tubkuargonianaccountpcuv4",,0x3010f83,312
book,Tamriel_Data,"0tubkuargonianaccountshotnuv1",,0x3010e96,313
book,Tamriel_Data,"0tubkuargonianaccountshotnuv2",,0x3010e97,314
book,Tamriel_Data,"0tubkuargonianaccountshotnuv3",,0x3010e98,315
book,Tamriel_Data,"0tubkuargonianaccountshotnuv4",,0x3010e99,316
book,Tamriel_Data,"0tubkuarkaythegodpc",,0x3010f34,317
book,Tamriel_Data,"0tubkuarkaythegodshotn",,0x3010e8c,318
book,Tamriel_Data,"0tubkuarkaythegodtr",,0x3011003,319
book,Tamriel_Data,"0tubkuarkhonlimtr",,0x3011004,320
book,Tamriel_Data,"0tubkuarrowshotwomanpc",,0x3010f32,321
book,Tamriel_Data,"0tubkuarrowshotwomantr",,0x3011005,322
book,Tamriel_Data,"0tubkuartofwarmagicshotn",,0x3010e6b,323
book,Tamriel_Data,"0tubkuassassinationofpelagiustr",,0x3011006,324
book,Tamriel_Data,"0tubkuassassinsdiarytr",,0x3011007,325
book,Tamriel_Data,"0tubkuasylumballpc",,0x3010f2c,326
book,Tamriel_Data,"0tubkuasylumballshotn",,0x3010e82,327
book,Tamriel_Data,"0tubkuasylumballtr",,0x3011008,328
book,Tamriel_Data,"0tubkuayleidcitiesvalenwoodpc",,0x3010feb,329
book,Tamriel_Data,"0tubkuayleidinscriptionspc",,0x3010f5a,330
book,Tamriel_Data,"0tubkuayleidruinspc",,0x3010f63,331
book,Tamriel_Data,"0tubkubankersbetpc",,0x3010f30,332
book,Tamriel_Data,"0tubkubankersbettr",,0x3011009,333
book,Tamriel_Data,"0tubkubartendersguideshotn",,0x3010e70,334
book,Tamriel_Data,"0tubkubattlesancretorpc",,0x3010f84,335
book,Tamriel_Data,"0tubkubattlesancretorshotn",,0x3010e9b,336
book,Tamriel_Data,"0tubkubecamemonstertruv1",,0x301100b,337
book,Tamriel_Data,"0tubkubecamemonstertruv2",,0x301100c,338
book,Tamriel_Data,"0tubkubecamemonstertruv3",,0x301100d,339
book,Tamriel_Data,"0tubkubeforeagesofmanopenpc",,0x3010f9a,340
book,Tamriel_Data,"0tubkubeforeagesofmanpc",,0x3010f5b,341
book,Tamriel_Data,"0tubkubeforeagesofmanshotn",,0x3010ea7,342
book,Tamriel_Data,"0tubkubeggarprinceopenpc",,0x3010f9b,343
book,Tamriel_Data,"0tubkubeggarprincepc",,0x3010f5c,344
book,Tamriel_Data,"0tubkubeggarprinceshotn",,0x3010eae,345
book,Tamriel_Data,"0tubkubelharzaretapcuv1",,0x3010fc3,346
book,Tamriel_Data,"0tubkubelharzaretapcuv2",,0x3010fc4,347
book,Tamriel_Data,"0tubkubelharzaretapcuv3",,0x3010fc5,348
book,Tamriel_Data,"0tubkubelharzaretapcuv4",,0x3010fc6,349
book,Tamriel_Data,"0tubkubelharzaretapcuv5",,0x3010fc7,350
book,Tamriel_Data,"0tubkubiiterhearttr",,0x301100e,351
book,Tamriel_Data,"0tubkubirdgoblinsshotn",,0x3010f12,352
book,Tamriel_Data,"0tubkublessedremantr",,0x301114d,353
book,Tamriel_Data,"0tubkubloodyendtr",,0x301100f,354
book,Tamriel_Data,"0tubkubluebooktr",,0x3011042,355
book,Tamriel_Data,"0tubkuboethiaandthebridgetr",,0x3011010,356
book,Tamriel_Data,"0tubkuboethiasprovingpc",,0x3010fa9,357
book,Tamriel_Data,"0tubkubookofcirclespc",,0x30111b9,358
book,Tamriel_Data,"0tubkubookofdaedrashotn",,0x3010e7c,359
book,Tamriel_Data,"0tubkubravildaughterofnibenpc",,0x3010f5d,360
book,Tamriel_Data,"0tubkubreakinsetofarmortr",,0x3011011,361
